Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty
src/adviseAuthComponent.tsx,102,41,51,51,0,0,10
src/client.d.ts,2,0,1,1,0,0,1
src/client.tsx,102,49,28,28,0,0,25
src/applicationIcons.ts,5,5,0,0,0,0,0
src/devTools.tsx,18,10,5,5,0,0,3
src/global.d.ts,80,56,8,8,0,1,17
src/reactRouter.tsx,81,59,12,6,6,6,16
src/shared.ts,3,2,0,0,0,0,1
src/systemConstants.ts,3,3,0,0,0,0,0
src/utility.ts,334,258,26,26,0,1,51
src/webpack.config.js,486,315,106,79,27,6,73
src/components/index.ts,18,13,2,2,0,0,3
src/stores/AdviseRouting.ts,32,27,0,0,0,0,5
src/stores/ApplicationStore.ts,117,90,6,6,0,0,21
src/stores/SuperAgentWrapper.ts,38,30,0,0,0,0,8
src/stores/helpers.ts,1,0,0,0,0,0,1
src/stores/index.ts,12,10,0,0,0,0,2
src/stores/models.ts,5,5,0,0,0,0,0
src/styles/animations.scss,19,18,0,0,0,0,1
src/styles/flexGrid.scss,81,55,7,7,0,0,19
src/styles/globalStyles.scss,266,202,17,17,0,1,48
src/styles/gridPanel.scss,43,34,3,3,0,0,6
src/styles/react-grid-layout.scss,7,6,0,0,0,0,1
src/styles/react-select.scss,20,14,1,1,0,0,5
src/test/testScheduler.ts,31,22,3,3,0,0,6
src/server/horizonServer.ts,92,69,12,5,7,1,12
src/test/utils.ts,272,175,50,17,33,1,50
src/server/server-routes.ts,78,78,0,0,0,0,0
src/server/server.d.ts,4,1,2,2,0,0,1
src/server/server.ts,224,164,33,33,0,8,35
src/themes/themes.ts,6,5,0,0,0,0,1
src/utility/Rect.ts,21,18,0,0,0,0,3
src/utility/keyCode.ts,20,20,0,0,0,0,0
src/utility/nonNativeHTML5Backend.js,53,40,1,1,0,0,12
src/utility/react-dnd-helpers.ts,49,44,0,0,0,0,5
src/utility/resizeSensor.ts,188,129,33,2,31,2,28
src/utility/smartStringify.ts,14,12,2,2,0,0,0
src/components/semantic-ui/index.ts,2,2,0,0,0,0,0
src/components/semantic-ui/semantic-ui.d.ts,9,7,1,1,0,1,2
src/components/goldenLayout/goldenLayoutComponent.tsx,293,213,18,18,0,1,63
src/components/goldenLayout/goldenLayoutComponent.scss,398,307,22,19,3,4,73
src/components/goldenLayout/goldenLayoutCustom.scss,96,74,6,6,0,0,16
src/components/site/ApplicationContainer.tsx,198,144,22,21,1,1,33
src/components/site/ApplicationMenu.scss,164,116,13,13,0,1,36
src/components/site/ApplicationMenu.tsx,176,106,60,13,47,15,26
src/components/site/applicationPage.scss,17,13,2,2,0,0,2
src/components/site/applicationPage.tsx,16,11,3,0,3,0,2
src/components/pages/404.scss,14,13,0,0,0,0,1
src/components/pages/404.tsx,41,34,3,0,3,2,6
src/components/pages/AdminPage.scss,5,5,0,0,0,0,0
src/components/pages/AdminPage.tsx,107,94,0,0,0,0,13
src/components/pages/ErrorReportPage.tsx,26,22,0,0,0,0,4
src/components/pages/dashboardPage.tsx,9,9,0,0,0,0,0
src/components/pages/index.ts,7,6,1,1,0,0,0
src/components/system/index.ts,12,11,0,0,0,0,1
src/components/system/systemIcon.tsx,160,134,5,5,0,1,22
src/components/widgets/IndeterminateCheckbox.tsx,28,23,0,0,0,0,5
src/components/widgets/LoadingUntil.scss,4,4,0,0,0,0,0
src/components/widgets/LoadingUntil.tsx,41,35,0,0,0,0,6
src/components/widgets/ModalDialog.tsx,58,49,0,0,0,0,9
src/components/widgets/NotFoundMessage.tsx,42,34,3,0,3,2,7
src/components/widgets/splitResizer.scss,35,25,6,6,0,0,4
src/components/widgets/splitResizer.tsx,71,60,0,0,0,0,11
src/components/wijmo-components/FlexGridWrapper.scss,10,8,0,0,0,0,2
src/components/wijmo-components/FlexGridWrapper.tsx,480,347,36,30,6,1,98
src/stores/query/actions.ts,160,120,5,2,3,0,35
src/stores/query/index.ts,4,4,0,0,0,0,0
src/stores/query/models.ts,127,99,3,3,0,1,26
src/stores/query/navigation.ts,18,16,1,1,0,1,2
src/stores/query/store.ts,24,21,0,0,0,0,3
src/stores/boilerplate/actions.ts,20,7,9,9,0,0,4
src/stores/boilerplate/index.ts,3,3,0,0,0,0,0
src/stores/boilerplate/models.ts,3,2,0,0,0,0,1
src/stores/boilerplate/store.ts,11,7,0,0,0,0,4
src/stores/juliaApi/actions.ts,45,38,2,2,0,1,6
src/stores/juliaApi/index.ts,2,2,0,0,0,0,0
src/stores/juliaApi/shared.ts,47,35,4,4,0,0,8
src/stores/juliaApi/store.ts,35,24,1,1,0,1,11
src/stores/queryResult/actions.ts,194,133,19,19,0,0,42
src/stores/queryResult/index.ts,4,4,0,0,0,0,0
src/stores/queryResult/models.ts,251,183,31,3,28,1,38
src/stores/queryResult/navigation.ts,24,20,0,0,0,0,4
src/stores/queryResult/store.ts,88,83,0,0,0,0,5
src/stores/reportBuilder/actions.ts,635,401,120,57,63,0,114
src/stores/reportBuilder/db.ts,200,138,23,14,9,1,40
src/stores/reportBuilder/index.ts,3,3,0,0,0,0,0
src/stores/reportBuilder/models.ts,140,80,38,38,0,0,22
src/stores/reportBuilder/store.ts,159,131,1,1,0,0,27
src/stores/rethinkDb/actions.ts,45,39,2,2,0,1,5
src/stores/rethinkDb/index.ts,3,3,0,0,0,0,0
src/stores/rethinkDb/models.ts,23,18,0,0,0,0,5
src/stores/rethinkDb/shared.ts,49,38,2,2,0,0,9
src/stores/rethinkDb/store.ts,55,39,7,1,6,0,9
src/stores/site/actions.ts,52,42,0,0,0,0,10
src/stores/site/index.ts,3,3,0,0,0,0,0
src/stores/site/models.ts,5,5,0,0,0,0,0
src/stores/site/store.ts,32,27,3,3,0,3,5
src/stores/highcharts/actions.ts,66,52,0,0,0,0,14
src/stores/highcharts/index.ts,5,3,0,0,0,0,2
src/stores/highcharts/models.ts,175,134,7,7,0,1,35
src/stores/highcharts/store.ts,47,41,0,0,0,0,6
src/stores/simulation/actions.ts,47,21,16,7,9,0,12
src/stores/simulation/db.ts,26,23,0,0,0,0,3
src/stores/simulation/index.ts,3,3,0,0,0,0,0
src/stores/simulation/models.ts,17,16,2,2,0,2,1
src/stores/simulation/store.ts,17,14,0,0,0,0,3
src/styles/semantic/button.scss,76,51,13,13,0,0,12
src/styles/semantic/card.scss,43,33,1,1,0,0,9
src/styles/semantic/index.scss,3,3,0,0,0,0,0
src/styles/semantic/layout.scss,9,8,0,0,0,0,1
src/styles/themes/conning-theme.scss,156,85,43,43,0,7,35
src/styles/themes/default-theme.scss,71,52,1,1,0,1,19
src/themes/google-docs/index.ts,1,1,0,0,0,0,0
src/themes/google-docs/toolbar.scss,36,28,2,2,0,1,7
src/components/semantic-ui/parts/loading.tsx,34,25,1,1,0,0,8
src/components/semantic-ui/parts/menu.scss,91,56,25,25,0,3,13
src/components/site/_parts/StickySidebar.tsx,58,54,0,0,0,0,4
src/components/semantic-ui/parts/semanticMenu.tsx,276,220,12,12,0,1,45
src/components/site/_parts/siteHeader.scss,122,100,4,4,0,0,18
src/components/site/_parts/siteHeaderBootstrap.tsx,57,47,0,0,0,0,10
src/components/site/_parts/siteHeaderSemantic.tsx,75,55,9,0,9,3,14
src/components/pages/vtt/VttPage.tsx,71,60,1,1,0,1,11
src/components/pages/vtt/app-config.tsx,2,1,0,0,0,0,1
src/components/pages/auth/LoginPage.tsx,76,64,0,0,0,0,12
src/components/pages/auth/LogoutPage.tsx,21,17,0,0,0,0,4
src/components/system/contextMenu/contextMenu.scss,142,111,4,4,0,0,27
src/components/system/contextMenu/contextMenu.tsx,158,124,7,7,0,0,27
src/components/system/contextMenu/react-portal.tsx,200,167,2,2,0,0,31
src/components/system/correlation-table/correlationTable.scss,165,110,22,10,12,1,35
src/components/system/correlation-table/correlationTable.tsx,632,429,76,37,39,2,129
src/components/system/correlation-table/correlationTableApi.ts,18,17,0,0,0,0,1
src/components/system/correlation-table/correlationTableCellFactory.ts,162,123,13,13,0,1,27
src/components/system/correlation-table/correlationTableMergeManager.ts,29,27,0,0,0,0,2
src/components/system/correlation-table/correlationTestBaselines.tsx,27,20,0,0,0,0,7
src/components/system/correlation-table/index.ts,1,1,0,0,0,0,0
src/components/system/pivot/PivotTableDragPreview.tsx,64,59,1,1,0,0,4
src/components/system/pivot/dragAxisPayload.ts,6,3,0,0,0,0,3
src/components/system/pivot/index.ts,22,19,0,0,0,0,3
src/components/system/correlation-table/mockCorrelationData.ts,228,211,0,0,0,0,17
src/components/system/pivot/pivotTable.scss,455,351,21,21,0,2,85
src/components/system/highcharts/HighchartsComponentDragPreview.tsx,37,34,1,0,1,1,3
src/components/system/pivot/pivotTable.tsx,717,548,55,34,21,4,118
src/components/system/highcharts/PathSearcher.ts,70,41,17,3,14,0,12
src/components/system/highcharts/chartConstants.ts,1,1,0,0,0,0,0
src/components/system/highcharts/chartUtils.ts,36,20,10,4,6,0,6
src/components/system/highcharts/highcharts-extensions.d.ts,81,66,5,5,0,2,12
src/components/system/highcharts/highchartsApiRoutes.ts,123,96,10,4,6,0,17
src/components/system/highcharts/highchartsComponent.scss,57,47,2,2,0,1,9
src/components/system/highcharts/highchartsComponent.tsx,667,464,99,68,31,5,109
src/components/system/highcharts/highchartsDependencies.ts,8,6,0,0,0,0,2
src/components/system/highcharts/highchartsMockDataApi.ts,9,8,0,0,0,0,1
src/components/system/highcharts/index.ts,1,1,0,0,0,0,0
src/components/system/query-tool/QueryChooser.tsx,151,127,2,2,0,0,22
